"DNS","DN","N","N",,"DN","DN","NR",,,"Y",,,,,
"DNS","DN","N","N",,"N","Y","NR",,"N",,,,,,
"DNS","DN","Y","N",,"N","N","N",,"Y",,,,,,
"DNS","DN","Y","N","N","N","N","NR",,,,,,,,
"DNS","Y","Y","N",,"Y","Y","Y",,"Y",,,,,,
"Y","Y","Y","N",,"Y","Y","Y","T",,,"Y","Y","family","$12.00","N"
"Y","Y","Y","N","Y","Y","Y","NR","T",,,"Y","Y","family","$8.00","Y"
"N","DN","N","Y",,"N","Y","NR","H",,,,,"family","$3.00","N"
"DNS","Y","Y","N","Y","N","N","NR",,,,,,,,
"Y","DN","Y","N",,"Y","Y","Y","T",,,"Y","Y","date","$12.00","N"
"DNS","DN","N","N",,"N","N","NR",,,,,,,,
"Y","DN","Y","N",,"N","N","NR","T",,,"Y","Y","friend","$15.00","N"
"DNS","Y","Y","N",,"Y","Y","Y",,,,,,,,
"DNS","Y","Y","N",,"N","N","NR",,"N",,,,,,
"DNS","DN","N","N",,"N","N","NR",,,,,,,,
"Y","Y","Y","N",,"Y","Y","Y","T",,,"Y","Y","family","$12.00","Y"
"DNS","DN","N","N",,"N","N","Y",,,,,,,,
"DNS","Y","Y","N",,"Y","Y","Y",,"N",,,,,,
"DNS","Y","Y","N",,"N","N","Y",,,,,,,,
"DNS","DN","N","N",,"DN","N","NR",,,,,,,,
"DNS","DN","N","N",,"DN","DN","NR",,,,,,,,
"DNS","Y","Y","N",,"Y","N","N",,,,,,,,
"DNS","DN","N","Y",,"N","N","NR",,,,,,,,
"DNS","DN","Y","N",,"N","N","N",,,,,,,,
"Y","Y","Y","Y",,"Y","Y","Y","T","Y",,"Y","Y","friend","$16.00","Y"
"DNS","Y","Y","N","Y","N","N","NR",,,,,,,,
"DNS","Y","N","N",,"N","N","NR",,,,,,,,
"DNS","Y","Y","N",,"N","N","NR",,"N",,,,,,
"DNS","Y","Y","Y",,"N","N","NR",,,,,,,,
"Y","Y","Y","Y",,"Y","Y","Y","T","Y",,"Y","Y","date","$10.00","N"
"DNS","Y","N","N",,"N","Y","Y",,"N",,,,,,
"Y","Y","Y","N",,"Y","Y","Y","T","N",,"Y","Y","family","$12.00","N"
"Y","DN","Y","N",,"Y","Y","NR","T",,,"Y","Y","friend","$16.00","Y"
"DNS","DN","Y","N","Y","N","Y","NR",,,,,,,,
"DNS","Y","Y","N","Y","N","N","NR",,,,,,,,
"Y","Y","Y","N",,"Y","Y","NR","T",,,"Y","Y","family","$10.00","N"
"DNS","DN","Y","N",,"DN","DN","NR",,,,,,,,
"DNS","Y","Y","N",,"N","Y","NR",,,,,,,,
"DNS","DN","N","N",,"Y","Y","Y",,,,,,,,
"DNS","DN","Y","N",,"Y","Y","NR",,"Y",,,,,,
"Y","Y","Y","N",,"N","Y","NR","T","N",,"Y","Y","date","$16.00","N"
"DNS","DN","N","N",,"N","N","Y",,,,,,,,
"DNS","Y","Y","N","Y","Y","Y","Y",,,,,,,,
"DNS","DN","Y","N",,"DN","Y","Y",,,,,,,,
"DNS","Y","N","N",,"N","N","NR",,,,,,,,
"DNS","Y","Y","N","Y","N","N","Y",,,,,,,,
"Y","Y","Y","N",,"Y","Y","Y","T",,,"Y","Y","date","$14.00","N"
"Y","DN","Y","N","Y","Y","Y","NR","T",,,"Y","Y","friend","$16.00","Y"
"Y","Y","Y","N",,"Y","Y","NR","H","Y",,,,"alone","FREE","N"
"DNS","DN","Y","Y",,"N","N","N",,"Y",,,,,,
"DNS","DN","Y","Y",,"N","N","NR",,,,,,,,
"DNS","DN","Y","N","N","N","N","NR",,,,,,,,
"DNS","Y","Y","N",,"N","Y","Y",,,,,,,,
"DNS","N","Y","N",,"N","N","N",,,,,,,,
"Y","Y","Y","N","Y","Y","Y","NR","T","Y",,"Y","Y","family","$12.00","Y"
"Y","Y","Y","N","Y","Y","Y","NR","T","Y",,"Y","Y","alone","$16.00","Y"
"Y","DN","Y","N",,"Y","Y","NR","T",,,"Y","Y","friend","Free","Y"
"DNS","N","Y","N",,"N","N","NR",,,,,,,,
"Y","Y","Y","N",,"N","Y","NR","T",,,"Y","Y","family","$16.00","Y"
"DNS","DN","Y","N",,"Y","Y","Y",,,,,,,,
"DNS","DN","Y","Y",,"N","N","NR",,,,,,,,
"Y","Y","Y","N","Y","Y","Y","Y","T","Y",,"N","Y","family","$25.00","N"
"Y","Y","Y","Y",,"Y","Y","Y","T","Y",,"Y","Y","friend","$16.00","Y"
"DNS","DN","N","N",,"DN","DN","NR",,,,,,,,
"DNS","DN","Y","Y",,"N","N","NR",,,,,,,,
"DNS","DN","DN","DN",,"DN","DN","NR",,,,,,,,
"DNS","Y","Y","N",,"Y","Y","NR",,"Y",,,,,,
"DNS","DN","Y","N",,"N","N","NR",,,,,,,,
"DNS","DN","Y","Y",,"N","N","NR",,,,,,,,
"DNS","DN","Y","N",,"N","N","NR",,,,,,,,
"DNS","N","Y","N",,"N","N","NR",,,,,,,,
"DNS","Y","Y","N","Y","N","Y","NR",,,,,,,,
"DNS","DN","Y","N",,"N","N","NR",,,,,,,,
"DNS","Y","Y","N",,"Y","Y","Y",,"Y",,,,,,
"DNS","N","Y","N",,"N","N","NR",,"Y",,,,,,
"DNS","Y","Y","N",,"DN","N","NR",,,,,,,,
"DNS","Y","N","N",,"N","N","NR",,,,,,,,
"Y","Y","Y","N",,"Y","Y","Y","H",,,,,"date","$3.00","N"
"Y","Y","Y","N",,"Y","Y","Y","T",,,"Y","Y","family","$12.00","N"
